ID	adj.P.Val	P.Value	F	SPOT_ID
5328_at	1.28e-25	5.84e-28	85.51017	plasminogen activator, urokinase
6319_at	1.44e-25	6.67e-28	85.27085	stearoyl-CoA desaturase (delta-9-desaturase)
5742_at	1.46e-25	6.80e-28	85.23479	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
10529_at	1.57e-25	7.40e-28	85.08223	nebulette
137075_at	1.81e-25	8.65e-28	84.80058	claudin 23
3570_at	1.83e-25	8.83e-28	84.76407	interleukin 6 receptor
1179_at	1.83e-25	8.92e-28	84.74622	chloride channel accessory 1
3291_at	1.91e-25	9.43e-28	84.64572	hydroxysteroid (11-beta) dehydrogenase 2
140803_at	2.02e-25	1.01e-27	84.52555	transient receptor potential cation channel, subfamily M, member 6
27299_at	2.15e-25	1.08e-27	84.39791	ADAM-like, decysin 1
8857_at	2.22e-25	1.13e-27	84.32358	Fc fragment of IgG binding protein
9378_at	2.33e-25	1.20e-27	84.22063	neurexin 1
80157_at	2.84e-25	1.47e-27	83.84739	cell wall biogenesis 43 C-terminal homolog
150000_at	3.05e-25	1.60e-27	83.6987	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene
79154_at	3.16e-25	1.67e-27	83.61914	dehydrogenase/reductase (SDR family) member 11
57126_at	3.17e-25	1.69e-27	83.59869	CD177 molecule
1087_at	4.10e-25	2.21e-27	83.11935	carcinoembryonic antigen-related cell adhesion molecule 7
477_at	5.86e-25	3.19e-27	82.46764	ATPase, Na+/K+ transporting, alpha 2 polypeptide
54827_at	5.98e-25	3.29e-27	82.41226	neurexophilin and PC-esterase domain family, member 4
2971_at	6.14e-25	3.41e-27	82.34919	general transcription factor IIIA
4609_at	6.42e-25	3.60e-27	82.2537	v-myc avian myelocytomatosis viral oncogene homolog
2335_at	7.24e-25	4.09e-27	82.02421	fibronectin 1
4282_at	7.29e-25	4.18e-27	81.98566	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
9603_at	7.29e-25	4.20e-27	81.98027	nuclear factor, erythroid 2-like 3
28231_at	7.75e-25	4.50e-27	81.85586	solute carrier organic anion transporter family, member 4A1
28513_at	7.76e-25	4.55e-27	81.83764	cadherin 19, type 2
1908_at	8.14e-25	4.81e-27	81.73727	endothelin 3
1675_at	8.58e-25	5.12e-27	81.62923	complement factor D (adipsin)
84419_at	9.38e-25	5.64e-27	81.45628	chromosome 15 open reading frame 48
11226_at	1.09e-24	6.64e-27	81.16775	polypeptide N-acetylgalactosaminyltransferase 6
22974_at	1.09e-24	6.69e-27	81.15454	TPX2, microtubule-associated
22822_at	1.21e-24	7.46e-27	80.96227	pleckstrin homology-like domain, family A, member 1
11031_at	1.34e-24	8.33e-27	80.76799	RAB31, member RAS oncogene family
53841_at	1.38e-24	8.64e-27	80.70431	cadherin-related family member 5
25902_at	1.44e-24	9.17e-27	80.59999	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
11075_at	1.44e-24	9.18e-27	80.59877	stathmin 2
23048_at	1.56e-24	1.00e-26	80.44033	formin binding protein 1
144402_at	1.61e-24	1.04e-26	80.37329	copine VIII
10537_at	1.95e-24	1.28e-26	80.01158	ubiquitin D
1116_at	1.95e-24	1.28e-26	80.01156	chitinase 3-like 1 (cartilage glycoprotein-39)
5764_at	1.99e-24	1.32e-26	79.95426	pleiotrophin
4060_at	2.01e-24	1.35e-26	79.92265	lumican
159296_at	2.32e-24	1.57e-26	79.65815	NK2 homeobox 3
1368_at	2.43e-24	1.66e-26	79.56178	carboxypeptidase M
10170_at	2.43e-24	1.66e-26	79.55492	dehydrogenase/reductase (SDR family) member 9
1410_at	2.54e-24	1.75e-26	79.46283	crystallin, alpha B
1634_at	2.78e-24	1.94e-26	79.28958	decorin
5152_at	2.99e-24	2.10e-26	79.15103	phosphodiesterase 9A
23136_at	3.38e-24	2.38e-26	78.92755	erythrocyte membrane protein band 4.1-like 3
64388_at	3.84e-24	2.73e-26	78.69155	gremlin 2, DAN family BMP antagonist
1836_at	3.92e-24	2.81e-26	78.64224	solute carrier family 26 (anion exchanger), member 2
8549_at	5.06e-24	3.65e-26	78.18479	leucine-rich repeat containing G protein-coupled receptor 5
3218_at	5.42e-24	3.93e-26	78.05422	homeobox B8
7077_at	5.47e-24	4.00e-26	78.02467	TIMP metallopeptidase inhibitor 2
7148_at	5.84e-24	4.31e-26	77.89763	tenascin XB
53827_at	5.89e-24	4.37e-26	77.87345	FXYD domain containing ion transport regulator 5
771_at	6.49e-24	4.85e-26	77.69188	carbonic anhydrase XII
4211_at	1.04e-23	7.82e-26	76.86594	Meis homeobox 1
27250_at	1.54e-23	1.16e-25	76.18004	programmed cell death 4 (neoplastic transformation inhibitor)
9518_at	1.57e-23	1.19e-25	76.13586	growth differentiation factor 15
63027_at	1.84e-23	1.41e-25	75.85145	solute carrier family 22, member 23
5361_at	1.99e-23	1.54e-25	75.70408	plexin A1
4684_at	2.44e-23	1.90e-25	75.34518	neural cell adhesion molecule 1
10085_at	2.45e-23	1.92e-25	75.32556	EGF-like repeats and discoidin I-like domains 3
32_at	2.46e-23	1.94e-25	75.30201	acetyl-CoA carboxylase beta
4128_at	2.65e-23	2.11e-25	75.16393	monoamine oxidase A
53834_at	2.82e-23	2.25e-25	75.05153	fibroblast growth factor receptor-like 1
4179_at	3.04e-23	2.44e-25	74.91282	CD46 molecule, complement regulatory protein
10808_at	3.12e-23	2.52e-25	74.8566	heat shock 105kDa/110kDa protein 1
1469_at	3.64e-23	2.97e-25	74.57982	cystatin SN
2878_at	4.08e-23	3.35e-25	74.37548	glutathione peroxidase 3
29923_at	5.88e-23	4.87e-25	73.73843	hypoxia inducible lipid droplet-associated
1030_at	5.88e-23	4.88e-25	73.73574	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
25825_at	7.54e-23	6.30e-25	73.3025	beta-site APP-cleaving enzyme 2
55600_at	8.01e-23	6.73e-25	73.18992	intelectin 1 (galactofuranose binding)
1776_at	8.80e-23	7.44e-25	73.02004	deoxyribonuclease I-like 3
80332_at	9.63e-23	8.19e-25	72.85902	ADAM metallopeptidase domain 33
3512_at	1.00e-22	8.58e-25	72.77975	joining chain of multimeric IgA and IgM
1811_at	1.72e-22	1.48e-24	71.85973	solute carrier family 26 (anion exchanger), member 3
56477_at	1.74e-22	1.51e-24	71.83536	chemokine (C-C motif) ligand 28
201501_at	1.80e-22	1.56e-24	71.77032	zinc finger and BTB domain containing 7C
766_at	1.83e-22	1.61e-24	71.71912	carbonic anhydrase VII
7123_at	1.83e-22	1.61e-24	71.71817	C-type lectin domain family 3, member B
10894_at	2.11e-22	1.88e-24	71.46363	lymphatic vessel endothelial hyaluronan receptor 1
1282_at	2.11e-22	1.88e-24	71.46252	collagen, type IV, alpha 1
957_at	2.13e-22	1.91e-24	71.4355	ectonucleoside triphosphate diphosphohydrolase 5
58476_at	2.14e-22	1.94e-24	71.41379	tumor protein p53 inducible nuclear protein 2
2767_at	2.45e-22	2.23e-24	71.18085	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
2118_at	2.45e-22	2.24e-24	71.17224	ets variant 4
7360_at	2.49e-22	2.28e-24	71.1378	UDP-glucose pyrophosphorylase 2
7447_at	2.65e-22	2.44e-24	71.02427	visinin-like 1
8313_at	2.80e-22	2.60e-24	70.92271	axin 2
65108_at	2.86e-22	2.67e-24	70.87759	MARCKS-like 1
23584_at	3.13e-22	2.94e-24	70.71768	V-set and immunoglobulin domain containing 2
4921_at	3.31e-22	3.13e-24	70.61119	discoidin domain receptor tyrosine kinase 2
123264_at	3.31e-22	3.15e-24	70.59852	solute carrier family 51, beta subunit
116496_at	3.31e-22	3.16e-24	70.5944	family with sequence similarity 129, member A
400550_at	3.68e-22	3.53e-24	70.41128	FOXF1 adjacent non-coding developmental regulatory RNA
54576_at	3.89e-22	3.75e-24	70.30926	UDP glucuronosyltransferase 1 family, polypeptide A8
10050_at	3.91e-22	3.79e-24	70.29113	solute carrier family 17, member 4
284119_at	4.09e-22	3.99e-24	70.20872	polymerase I and transcript release factor
595_at	4.16e-22	4.08e-24	70.17188	cyclin D1
6549_at	4.18e-22	4.12e-24	70.15578	solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2
11065_at	4.40e-22	4.36e-24	70.05948	ubiquitin-conjugating enzyme E2C
598_at	4.80e-22	4.78e-24	69.90694	BCL2-like 1
54894_at	5.08e-22	5.09e-24	69.80312	ring finger protein 43
55512_at	6.05e-22	6.09e-24	69.50546	sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)
79148_at	6.72e-22	6.80e-24	69.32403	matrix metallopeptidase 28
800_at	6.80e-22	6.91e-24	69.29733	caldesmon 1
9569_at	7.31e-22	7.47e-24	69.1676	GTF2I repeat domain containing 1
1513_at	7.63e-22	7.84e-24	69.08939	cathepsin K
6926_at	7.81e-22	8.06e-24	69.04324	T-box 3
667_at	8.13e-22	8.44e-24	68.96708	dystonin
430_at	8.43e-22	8.79e-24	68.9006	achaete-scute family bHLH transcription factor 2
134285_at	8.54e-22	8.95e-24	68.86988	transmembrane protein 171
1300_at	8.62e-22	9.08e-24	68.84641	collagen, type X, alpha 1
23635_at	8.69e-22	9.20e-24	68.82491	single-stranded DNA binding protein 2
55612_at	8.76e-22	9.32e-24	68.80311	fermitin family member 1
7422_at	8.76e-22	9.36e-24	68.79593	vascular endothelial growth factor A
57447_at	8.91e-22	9.57e-24	68.76036	NDRG family member 2
84803_at	1.02e-21	1.10e-23	68.52477	glycerol-3-phosphate acyltransferase 3
10917_at	1.02e-21	1.11e-23	68.517	butyrophilin-like 3
51196_at	1.03e-21	1.12e-23	68.4973	phospholipase C, epsilon 1
54805_at	1.05e-21	1.15e-23	68.46031	cyclin and CBS domain divalent metal cation transport mediator 2
166968_at	1.05e-21	1.15e-23	68.45172	mesoderm induction early response 1, family member 3
8537_at	1.14e-21	1.26e-23	68.31017	breast carcinoma amplified sequence 1
7145_at	1.20e-21	1.34e-23	68.21166	tensin 1
6750_at	1.22e-21	1.36e-23	68.17958	somatostatin
10875_at	1.34e-21	1.50e-23	68.01899	fibrinogen-like 2
3960_at	1.40e-21	1.58e-23	67.93357	lectin, galactoside-binding, soluble, 4
25994_at	1.50e-21	1.69e-23	67.82231	HIG1 hypoxia inducible domain family, member 1A
27284_at	1.51e-21	1.72e-23	67.79693	sulfotransferase family, cytosolic, 1B, member 1
25840_at	1.64e-21	1.87e-23	67.66192	methyltransferase like 7A
4638_at	1.75e-21	2.01e-23	67.54291	myosin light chain kinase
84168_at	1.85e-21	2.13e-23	67.44325	anthrax toxin receptor 1
7433_at	1.93e-21	2.23e-23	67.36967	vasoactive intestinal peptide receptor 1
23171_at	2.11e-21	2.46e-23	67.21356	glycerol-3-phosphate dehydrogenase 1-like
11167_at	2.23e-21	2.60e-23	67.11694	follistatin-like 1
6558_at	2.47e-21	2.89e-23	66.94643	solute carrier family 12 (sodium/potassium/chloride transporter), member 2
54443_at	2.50e-21	2.94e-23	66.9172	anillin actin binding protein
6920_at	2.65e-21	3.13e-23	66.81495	transcription elongation factor A (SII), 3
84417_at	2.68e-21	3.20e-23	66.7834	chromosome 2 open reading frame 40
25959_at	2.68e-21	3.21e-23	66.7769	KN motif and ankyrin repeat domains 2
257194_at	2.68e-21	3.22e-23	66.77246	neuronal growth regulator 1
51176_at	2.70e-21	3.25e-23	66.75355	lymphoid enhancer-binding factor 1
1805_at	2.76e-21	3.34e-23	66.71096	dermatopontin
8612_at	2.99e-21	3.63e-23	66.57457	phosphatidic acid phosphatase type 2C
1293_at	3.10e-21	3.77e-23	66.51224	collagen, type VI, alpha 3
93986_at	3.44e-21	4.21e-23	66.33454	forkhead box P2
2775_at	3.63e-21	4.46e-23	66.24108	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
865_at	3.67e-21	4.53e-23	66.21536	core-binding factor, beta subunit
7153_at	3.98e-21	4.93e-23	66.0767	topoisomerase (DNA) II alpha
7203_at	4.04e-21	5.03e-23	66.04594	chaperonin containing TCP1, subunit 3 (gamma)
10580_at	4.39e-21	5.48e-23	65.90527	sorbin and SH3 domain containing 1
646627_at	4.40e-21	5.52e-23	65.89459	LY6/PLAUR domain containing 8
7091_at	4.55e-21	5.74e-23	65.83122	transducin-like enhancer of split 4
6335_at	4.80e-21	6.08e-23	65.73815	sodium channel, voltage gated, type IX alpha subunit
3977_at	4.90e-21	6.23e-23	65.69984	leukemia inhibitory factor receptor alpha
57863_at	4.97e-21	6.34e-23	65.67024	cell adhesion molecule 3
64065_at	5.69e-21	7.29e-23	65.44482	PERP, TP53 apoptosis effector
10631_at	5.94e-21	7.64e-23	65.36952	periostin, osteoblast specific factor
50636_at	6.06e-21	7.83e-23	65.32958	anoctamin 7
5396_at	6.68e-21	8.66e-23	65.16621	paired related homeobox 1
2617_at	6.81e-21	8.88e-23	65.12548	glycyl-tRNA synthetase
90139_at	6.81e-21	8.90e-23	65.12135	tetraspanin 18
651_at	7.00e-21	9.19e-23	65.07019	bone morphogenetic protein 3
2494_at	7.62e-21	1.00e-22	64.92842	nuclear receptor subfamily 5, group A, member 2
8814_at	7.93e-21	1.05e-22	64.85643	cyclin-dependent kinase-like 1 (CDC2-related kinase)
1472_at	8.00e-21	1.06e-22	64.83638	cystatin S
3673_at	8.28e-21	1.10e-22	64.77509	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
7004_at	8.64e-21	1.16e-22	64.7007	TEA domain family member 4
1265_at	9.43e-21	1.27e-22	64.55342	calponin 2
1894_at	9.88e-21	1.33e-22	64.4713	epithelial cell transforming 2
5166_at	1.01e-20	1.37e-22	64.42346	pyruvate dehydrogenase kinase, isozyme 4
10630_at	1.17e-20	1.59e-22	64.19012	podoplanin
10979_at	1.23e-20	1.68e-22	64.10125	fermitin family member 2
1635_at	1.24e-20	1.70e-22	64.08152	dCMP deaminase
93010_at	1.26e-20	1.73e-22	64.05004	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
4026_at	1.29e-20	1.78e-22	64.00982	LIM domain containing preferred translocation partner in lipoma
1019_at	1.37e-20	1.90e-22	63.90362	cyclin-dependent kinase 4
5315_at	1.48e-20	2.06e-22	63.77375	pyruvate kinase, muscle
2824_at	1.63e-20	2.27e-22	63.61484	glycoprotein M6B
8824_at	1.95e-20	2.73e-22	63.32024	carboxylesterase 2
171024_at	2.22e-20	3.12e-22	63.10757	synaptopodin 2
4499_at	2.43e-20	3.44e-22	62.95339	metallothionein 1M
57016_at	2.43e-20	3.44e-22	62.95161	aldo-keto reductase family 1, member B10 (aldose reductase)
2950_at	2.52e-20	3.59e-22	62.88758	glutathione S-transferase pi 1
2921_at	2.54e-20	3.62e-22	62.87083	chemokine (C-X-C motif) ligand 3
79026_at	2.54e-20	3.64e-22	62.86407	AHNAK nucleoprotein
10223_at	2.60e-20	3.74e-22	62.82217	glycoprotein A33 (transmembrane)
5523_at	2.89e-20	4.18e-22	62.64355	protein phosphatase 2, regulatory subunit B'', alpha
124540_at	2.89e-20	4.18e-22	62.64324	musashi RNA-binding protein 2
4969_at	3.24e-20	4.71e-22	62.45522	osteoglycin
80117_at	3.25e-20	4.73e-22	62.44702	ADP-ribosylation factor-like 14
26585_at	3.35e-20	4.90e-22	62.39157	gremlin 1, DAN family BMP antagonist
1191_at	3.36e-20	4.93e-22	62.38049	clusterin
5350_at	3.40e-20	5.01e-22	62.35452	phospholamban
6925_at	3.51e-20	5.20e-22	62.29828	transcription factor 4
84624_at	3.52e-20	5.22e-22	62.29052	fibronectin type III domain containing 1
10103_at	4.00e-20	5.96e-22	62.0808	tetraspanin 1
3576_at	4.04e-20	6.03e-22	62.06165	chemokine (C-X-C motif) ligand 8
9289_at	4.04e-20	6.05e-22	62.0553	adhesion G protein-coupled receptor G1
3654_at	4.47e-20	6.72e-22	61.89001	interleukin-1 receptor-associated kinase 1
2316_at	4.85e-20	7.32e-22	61.75588	filamin A, alpha
270_at	5.26e-20	7.96e-22	61.62144	adenosine monophosphate deaminase 1
2295_at	5.35e-20	8.13e-22	61.58979	forkhead box F2
81792_at	5.49e-20	8.37e-22	61.54226	ADAM metallopeptidase with thrombospondin type 1 motif, 12
116447_at	5.70e-20	8.72e-22	61.47845	topoisomerase (DNA) I, mitochondrial
6185_at	6.01e-20	9.23e-22	61.38852	ribophorin II
5151_at	6.63e-20	1.02e-21	61.22784	phosphodiesterase 8A
4256_at	6.63e-20	1.02e-21	61.22306	matrix Gla protein
1434_at	7.41e-20	1.15e-21	61.04146	CSE1 chromosome segregation 1-like (yeast)
4660_at	7.46e-20	1.16e-21	61.02719	protein phosphatase 1, regulatory subunit 12B
8404_at	7.70e-20	1.20e-21	60.97143	SPARC-like 1 (hevin)
57484_at	7.74e-20	1.21e-21	60.95872	ring finger protein 150
2641_at	7.79e-20	1.22e-21	60.94249	glucagon
79827_at	8.00e-20	1.26e-21	60.89656	CXADR-like membrane protein
144501_at	9.19e-20	1.45e-21	60.67276	keratin 80, type II
2919_at	1.06e-19	1.68e-21	60.44387	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
7086_at	1.15e-19	1.83e-21	60.31039	transketolase
813_at	1.15e-19	1.83e-21	60.30861	calumenin
51316_at	1.15e-19	1.84e-21	60.30528	placenta-specific 8
8991_at	1.20e-19	1.93e-21	60.2304	selenium binding protein 1
55911_at	1.22e-19	1.96e-21	60.20094	apolipoprotein B receptor
4176_at	1.26e-19	2.04e-21	60.14335	minichromosome maintenance complex component 7
26031_at	1.44e-19	2.34e-21	59.92828	oxysterol binding protein-like 3
10000_at	1.54e-19	2.50e-21	59.82048	v-akt murine thymoma viral oncogene homolog 3
64344_at	1.62e-19	2.66e-21	59.7285	hypoxia inducible factor 3, alpha subunit
5654_at	1.67e-19	2.73e-21	59.68378	HtrA serine peptidase 1
5144_at	1.81e-19	2.97e-21	59.55311	phosphodiesterase 4D, cAMP-specific
8613_at	1.83e-19	3.03e-21	59.52385	phosphatidic acid phosphatase type 2B
8425_at	1.90e-19	3.15e-21	59.4608	latent transforming growth factor beta binding protein 4
10335_at	1.96e-19	3.25e-21	59.4122	murine retrovirus integration site 1 homolog
124872_at	2.08e-19	3.47e-21	59.31082	beta-1,4-N-acetyl-galactosaminyl transferase 2
11343_at	2.11e-19	3.52e-21	59.28735	monoglyceride lipase
6876_at	2.11e-19	3.54e-21	59.28143	transgelin
2192_at	2.11e-19	3.55e-21	59.27602	fibulin 1
8840_at	2.15e-19	3.63e-21	59.23924	WNT1 inducible signaling pathway protein 1
23250_at	2.24e-19	3.78e-21	59.17638	ATPase, class VI, type 11A
6422_at	2.24e-19	3.81e-21	59.16614	secreted frizzled-related protein 1
387695_at	2.31e-19	3.93e-21	59.11813	chromosome 10 open reading frame 99
6414_at	2.32e-19	3.95e-21	59.10818	selenoprotein P, plasma, 1
254531_at	2.42e-19	4.14e-21	59.03524	lysophosphatidylcholine acyltransferase 4
11335_at	2.46e-19	4.22e-21	59.0041	chromobox homolog 3
80736_at	2.52e-19	4.33e-21	58.96418	solute carrier family 44, member 4
608_at	2.60e-19	4.50e-21	58.90599	tumor necrosis factor receptor superfamily, member 17
10924_at	2.67e-19	4.63e-21	58.86045	sphingomyelin phosphodiesterase, acid-like 3A
6387_at	2.84e-19	4.94e-21	58.76044	chemokine (C-X-C motif) ligand 12
9068_at	2.91e-19	5.07e-21	58.71937	angiopoietin-like 1
27346_at	2.94e-19	5.15e-21	58.69743	transmembrane protein 97
1846_at	2.99e-19	5.24e-21	58.67003	dual specificity phosphatase 4
51228_at	3.08e-19	5.42e-21	58.61697	glycolipid transfer protein
126393_at	3.11e-19	5.49e-21	58.59663	heat shock protein, alpha-crystallin-related, B6
8607_at	3.25e-19	5.74e-21	58.52643	RuvB-like AAA ATPase 1
2048_at	3.34e-19	5.93e-21	58.47682	EPH receptor B2
5630_at	3.60e-19	6.41e-21	58.35657	peripherin
960_at	4.11e-19	7.34e-21	58.14592	CD44 molecule (Indian blood group)
3486_at	4.57e-19	8.17e-21	57.9799	insulin-like growth factor binding protein 3
80168_at	4.62e-19	8.30e-21	57.95626	monoacylglycerol O-acyltransferase 2
128239_at	5.26e-19	9.50e-21	57.74757	IQ motif containing GTPase activating protein 3
10990_at	5.26e-19	9.50e-21	57.74691	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
10398_at	5.27e-19	9.57e-21	57.73648	myosin, light chain 9, regulatory
493_at	5.27e-19	9.60e-21	57.73206	ATPase, Ca++ transporting, plasma membrane 4
23140_at	5.27e-19	9.60e-21	57.73165	zinc finger, ZZ-type with EF-hand domain 1
